image_path	question	answer	gt
V: ['/content/data/coco/val2014/COCO_val2014_000000461331.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000461331.jpg']	Is there a microwave in the image?	Yes, there is a microwave	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000461331.jpg']	Is there a laptop in the image?	No, there is no laptop in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000544456.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000544456.jpg']	Is there a cell phone in the image?	Yes, there is a cell phone in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000544456.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000544456.jpg']	Is there a couch in the image?	No, there is no couch in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000544456.jpg']	Is there a skis in the image?	Yes, there is a skis in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000544456.jpg']	Is there a tennis racket in the image?	No, there is no tennis racket	No
V: ['/content/data/coco/val2014/COCO_val2014_000000017708.jpg']	Is there a bird in the image?	Yes, there is a bird, specifically	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000017708.jpg']	Is there a fire hydrant in the image?	No, there is no fire hydrant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000017708.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000017708.jpg']	Is there a bed in the image?	No, there is no bed in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000017708.jpg']	Is there a boat in the image?	Yes, there is a boat in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000017708.jpg']	Is there a bench in the image?	Yes, there is a bench in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000574692.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000574692.jpg']	Is there a bear in the image?	No, there is no bear in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000574692.jpg']	Is there an orange in the image?	Yes, there is an orange in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000574692.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000574692.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000574692.jpg']	Is there a bed in the image?	No, there is no bed in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000353180.jpg']	Is there a backpack in the image?	No, there is no backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000353180.jpg']	Is there a potted plant in the image?	No, there is no potted plant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000353180.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000353180.jpg']	Is there a wine glass in the image?	No, there is no wine glass in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000353180.jpg']	Is there a bus in the image?	Yes, there is a bus in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000353180.jpg']	Is there a suitcase in the image?	No, there is no suitcase in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000239444.jpg']	Is there a person in the image?	Yes, there is a person, a	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000239444.jpg']	Is there an airplane in the image?	No, there is no airplane in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000239444.jpg']	Is there a dining table in the image?	Yes, there is a dining table	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000239444.jpg']	Is there a clock in the image?	Yes, there is a clock in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000239444.jpg']	Is there a chair in the image?	Yes, there is a chair visible in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000239444.jpg']	Is there a horse in the image?	No, there is no horse in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000569839.jpg']	Is there a person in the image?	Yes, there is a little girl in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000569839.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000569839.jpg']	Is there a sandwich in the image?	Yes, there is a sandwich in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000569839.jpg']	Is there a tie in the image?	Yes, there is a tie in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000569839.jpg']	Is there a hot dog in the image?	Yes, there is a hot dog in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000569839.jpg']	Is there a car in the image?	No, there is no car in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000219622.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000219622.jpg']	Is there a carrot in the image?	No, there is no carrot in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000219622.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000219622.jpg']	Is there a potted plant in the image?	Yes, there is a potted plant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000219622.jpg']	Is there a frisbee in the image?	Yes, there is a frisbe	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000219622.jpg']	Is there a chair in the image?	No, there is no chair in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000300368.jpg']	Is there a knife in the image?	Yes, there is a knife in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000300368.jpg']	Is there a teddy bear in the image?	Yes, there is a teddy bear	No
V: ['/content/data/coco/val2014/COCO_val2014_000000300368.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000300368.jpg']	Is there a hot dog in the image?	No, there is no hot dog in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000300368.jpg']	Is there a cake in the image?	Yes, there is a cake in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000300368.jpg']	Is there a tie in the image?	Yes, there is a tie in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000482476.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000482476.jpg']	Is there a keyboard in the image?	No, there is no keyboard in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000482476.jpg']	Is there a remote in the image?	Yes, there is a remote in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000482476.jpg']	Is there a frisbee in the image?	No, there is no frisbe	No
V: ['/content/data/coco/val2014/COCO_val2014_000000482476.jpg']	Is there a handbag in the image?	Yes, there is a handbag in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000482476.jpg']	Is there an elephant in the image?	No, there is no elephant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000131115.jpg']	Is there a baseball glove in the image?	Yes, there is a baseball glove	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000131115.jpg']	Is there a suitcase in the image?	No, there is no suitcase in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000131115.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000131115.jpg']	Is there a sheep in the image?	No, there is no sheep in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000131115.jpg']	Is there a baseball bat in the image?	Yes, there is a baseball bat in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000131115.jpg']	Is there a dining table in the image?	No, there is no dining table	No
V: ['/content/data/coco/val2014/COCO_val2014_000000157084.jpg']	Is there a sink in the image?	Yes, there is a sink in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000157084.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000157084.jpg']	Is there a bench in the image?	Yes, there is a bench in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000157084.jpg']	Is there a scissors in the image?	Yes, there is a pair of sc	No
V: ['/content/data/coco/val2014/COCO_val2014_000000157084.jpg']	Is there a toilet in the image?	Yes, there is a toilet	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000157084.jpg']	Is there a bear in the image?	No, there is no bear in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000381895.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000381895.jpg']	Is there a carrot in the image?	No, there is no carrot in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000381895.jpg']	Is there a teddy bear in the image?	Yes, there is a teddy bear	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000381895.jpg']	Is there a bird in the image?	No, there is no bird in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000381895.jpg']	Is there a bear in the image?	Yes, there is a stuffed bear	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000381895.jpg']	Is there a mouse in the image?	No, there is no mouse in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000336872.jpg']	Is there a bowl in the image?	Yes, there is a bowl in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000336872.jpg']	Is there a skis in the image?	No, there are no skis in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000336872.jpg']	Is there a spoon in the image?	No, there is no spoon in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000336872.jpg']	Is there a dog in the image?	No, there is no dog in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000336872.jpg']	Is there a sandwich in the image?	Yes, there is a sandwich in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000336872.jpg']	Is there a car in the image?	No, there is no car in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000075591.jpg']	Is there a bed in the image?	Yes, there is a bed in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000075591.jpg']	Is there a scissors in the image?	Yes, there is a pair of sc	No
V: ['/content/data/coco/val2014/COCO_val2014_000000075591.jpg']	Is there a cat in the image?	Yes, there is a cat in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000075591.jpg']	Is there a clock in the image?	Yes, there is a clock in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000075591.jpg']	Is there a book in the image?	Yes, there is a book in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000075591.jpg']	Is there an elephant in the image?	No, there is no elephant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000516916.jpg']	Is there a tv in the image?	Yes, there is a television sitting on	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000516916.jpg']	Is there a bed in the image?	No, there is no bed in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000516916.jpg']	Is there a mouse in the image?	Yes, there is a mouse in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000516916.jpg']	Is there a bench in the image?	No, there is no bench in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000516916.jpg']	Is there a laptop in the image?	Yes, there is a laptop in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000516916.jpg']	Is there a skateboard in the image?	No, there is no skateboard	No
V: ['/content/data/coco/val2014/COCO_val2014_000000542145.jpg']	Is there a sink in the image?	Yes, there is a sink in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000542145.jpg']	Is there a giraffe in the image?	No, there is no giraffe	No
V: ['/content/data/coco/val2014/COCO_val2014_000000542145.jpg']	Is there a toothbrush in the image?	Yes, there is a toothbr	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000542145.jpg']	Is there a person in the image?	No, there is no person in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000542145.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000542145.jpg']	Is there an umbrella in the image?	No, there is no umbrella	No
V: ['/content/data/coco/val2014/COCO_val2014_000000218224.jpg']	Is there a truck in the image?	No, there is no truck in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000218224.jpg']	Is there an elephant in the image?	No, there is no elephant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000218224.jpg']	Is there an airplane in the image?	Yes, there is a large passenger jet	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000218224.jpg']	Is there a potted plant in the image?	No, there is no potted plant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000218224.jpg']	Is there a car in the image?	No, there is no car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000218224.jpg']	Is there a microwave in the image?	No, there is no microwave	No
V: ['/content/data/coco/val2014/COCO_val2014_000000297078.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000297078.jpg']	Is there a bear in the image?	No, there is no bear in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000297078.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000297078.jpg']	Is there a cup in the image?	No, there is no cup in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000297078.jpg']	Is there a skis in the image?	Yes, there is a person with sk	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000297078.jpg']	Is there a sink in the image?	No, there is no sink in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000033270.jpg']	Is there a tv in the image?	Yes, there is a tv in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000033270.jpg']	Is there a cat in the image?	No, there is no cat in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000033270.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000033270.jpg']	Is there a donut in the image?	No, there is no donut in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000033270.jpg']	Is there a couch in the image?	Yes, there is a couch in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000033270.jpg']	Is there a teddy bear in the image?	Yes, there is a teddy bear	No
V: ['/content/data/coco/val2014/COCO_val2014_000000140583.jpg']	Is there a truck in the image?	Yes, there is a truck in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000140583.jpg']	Is there a carrot in the image?	No, there is no carrot in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000140583.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000140583.jpg']	Is there a tv in the image?	No, there is no TV in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000140583.jpg']	Is there a cow in the image?	Yes, there is a herd of	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000140583.jpg']	Is there a potted plant in the image?	No, there is no potted plant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000421455.jpg']	Is there a dog in the image?	Yes, there is a dog in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000421455.jpg']	Is there an elephant in the image?	No, there is no elephant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000421455.jpg']	Is there a truck in the image?	Yes, there is a truck in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000421455.jpg']	Is there a stop sign in the image?	Yes, there is a stop sign in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000421455.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000421455.jpg']	Is there a skis in the image?	No, there are no skis in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000288639.jpg']	Is there a sink in the image?	Yes, there is a sink in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000288639.jpg']	Is there a sheep in the image?	No, there is no sheep in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000288639.jpg']	Is there a toothbrush in the image?	Yes, there is a toothbr	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000288639.jpg']	Is there a backpack in the image?	No, there is no backpack in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000288639.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000288639.jpg']	Is there a horse in the image?	No, there is no horse in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000291936.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000291936.jpg']	Is there a toilet in the image?	No, there is no toilet	No
V: ['/content/data/coco/val2014/COCO_val2014_000000291936.jpg']	Is there a bicycle in the image?	Yes, there is a bicycle	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000291936.jpg']	Is there a spoon in the image?	No, there is no spoon in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000291936.jpg']	Is there an umbrella in the image?	Yes, there is an umbrella	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000291936.jpg']	Is there a dog in the image?	No, there is no dog in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000063953.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000063953.jpg']	Is there a skis in the image?	No, there are no skis in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000063953.jpg']	Is there a bicycle in the image?	Yes, there is a bicycle	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000063953.jpg']	Is there a horse in the image?	No, there is no horse in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000063953.jpg']	Is there a skateboard in the image?	Yes, there is a skateboard	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000063953.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000526321.jpg']	Is there a laptop in the image?	Yes, there is a laptop in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000526321.jpg']	Is there a truck in the image?	Yes, there is a truck in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000526321.jpg']	Is there a remote in the image?	Yes, there is a remote in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000526321.jpg']	Is there a hot dog in the image?	No, there is no hot dog in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000526321.jpg']	Is there a dining table in the image?	Yes, there is a wooden desk	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000526321.jpg']	Is there a bowl in the image?	Yes, there is a bowl in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000042190.jpg']	Is there a snowboard in the image?	Yes, there is a snowboard in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000042190.jpg']	Is there a stop sign in the image?	No, there is no stop sign in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000042190.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000042190.jpg']	Is there a couch in the image?	No, there is no couch in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000042190.jpg']	Is there a surfboard in the image?	Yes, there is a surfboard	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000042190.jpg']	Is there a wine glass in the image?	No, there is no wine glass in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000553165.jpg']	Is there a bird in the image?	Yes, there is a bird in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000553165.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000553165.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000553165.jpg']	Is there a bus in the image?	No, there is no bus in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000553165.jpg']	Is there a boat in the image?	Yes, there is a boat in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000553165.jpg']	Is there a wine glass in the image?	No, there is no wine glass in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000170517.jpg']	Is there a dog in the image?	Yes, there is a dog in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000170517.jpg']	Is there a carrot in the image?	No, there is no carrot in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000170517.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000170517.jpg']	Is there a bird in the image?	No, there is no bird in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000170517.jpg']	Is there a car in the image?	No, there is no car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000170517.jpg']	Is there a spoon in the image?	No, there is no spoon in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000498759.jpg']	Is there a person in the image?	Yes, there is a person riding	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000498759.jpg']	Is there a truck in the image?	Yes, there is a truck in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000498759.jpg']	Is there a skateboard in the image?	Yes, there is a skateboard	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000498759.jpg']	Is there a cell phone in the image?	Yes, there is a cell phone in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000498759.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000498759.jpg']	Is there a donut in the image?	No, there is no donut in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000360600.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000360600.jpg']	Is there a mouse in the image?	No, there is no mouse in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000360600.jpg']	Is there a fork in the image?	Yes, there is a fork in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000360600.jpg']	Is there a bed in the image?	No, there is no bed in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000360600.jpg']	Is there a knife in the image?	Yes, there is a knife in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000360600.jpg']	Is there a baseball glove in the image?	No, there is no baseball glove	No
V: ['/content/data/coco/val2014/COCO_val2014_000000031773.jpg']	Is there a tv in the image?	Yes, there is a television in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000031773.jpg']	Is there a surfboard in the image?	No, there is no surfboard	No
V: ['/content/data/coco/val2014/COCO_val2014_000000031773.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000031773.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000031773.jpg']	Is there a mouse in the image?	Yes, there is a mouse in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000031773.jpg']	Is there a vase in the image?	Yes, there is a vase in	No
